scheme_code,isin,isin2,scheme_name,amc,fund_manager,scheme_type,category,category_sub,category_group_clean,category_group,scheme_plan,scheme_option,first_date,last_date,is_active,is_stale,aaum_cr_quarterly_avg,aaum_quarter,aaum_quarter_end,nav_date,nav
100027,,,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,IDCW,2006-04-03,2008-05-29,False,False,,,,2008-05-29,10.7205
100028,,,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,IDCW,2006-04-03,2008-05-29,False,False,,,,2008-05-29,10.6191
100029,,,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,Growth,2006-04-03,2008-05-29,False,False,,,,2008-05-29,18.9736
100030,,,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,IDCW,2006-04-03,2008-05-29,False,False,,,,2008-05-29,10.7115
100031,,,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,IDCW,2006-04-03,2008-05-29,False,False,,,,2008-05-29,10.1053
100032,,,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,,Open Ended Schemes,Income,,Debt Scheme,Income,Other,Growth,2006-04-03,2008-05-29,False,False,,,,2008-05-29,16.4299
100033,INF209K01165,,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Satyabrata Mohanty,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Large & Mid Cap Fund,Equity Scheme,Equity Scheme,Regular,Growth,2006-04-03,2026-09-24,True,False,4452.767199999999,June-2026,2026-06-30,2026-09-24,934.74
100034,INF209K01157,INF209K01CE5,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Satyabrata Mohanty,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Large & Mid Cap Fund,Equity Scheme,Equity Scheme,Regular,IDCW,2006-04-03,2026-09-24,True,False,455.1745,June-2026,2026-06-30,2026-09-24,136.14
100035,,,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Balanced,,Hybrid Scheme,Balanced,Other,IDCW,2006-04-03,2011-10-21,False,False,,,,2011-10-21,14.55
100036,,,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Balanced,,Hybrid Scheme,Balanced,Other,Growth,2006-04-03,2011-10-21,False,False,,,,2011-10-21,30.91
100037,INF209K01587,INF209K01CY3,Aditya Birla Sun Life Medium to Long Term Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,"Pranay Sinha, Ashish Kela",Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,Medium to Long Term Fund,Debt Scheme,Income/Debt Oriented Schemes,Regular,IDCW,2006-04-03,2026-09-24,True,False,10.9823,June-2026,2026-06-30,2026-09-24,12.8666
100038,INF209K01579,,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,"Pranay Sinha, Ashish Kela",Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,Medium to Long Term Fund,Debt Scheme,Income/Debt Oriented Schemes,Regular,Growth,2006-04-03,2026-09-24,True,False,724.9003,June-2026,2026-06-30,2026-09-24,129.3211
100041,,INF209K01KN9,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2026-06-19,True,False,0.1845,June-2026,2026-06-30,2026-06-19,108.023
100042,INF209K01ME4,,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,Growth,2006-04-02,2026-06-19,False,False,17.3424,June-2026,2026-06-30,2026-06-19,724.1661
100043,INF209K01RT1,,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,Growth,2006-04-02,2026-06-19,False,False,1.5055,June-2026,2026-06-30,2026-06-19,743.1443
100044,,INF209K01KP4,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2026-06-19,True,False,0.4957,June-2026,2026-06-30,2026-06-19,163.694
100046,INF209K01KQ2,INF209K01SQ5,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2026-09-24,True,False,84.2718,June-2026,2026-06-30,2026-09-24,100.195
100047,INF209K01RU9,,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,"Sunaina da Cunha, Kaustubh Gupta",Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,Growth,2006-04-02,2026-09-24,True,False,12526.7741,June-2026,2026-06-30,2026-09-24,453.7708
100048,INF209KA1LK7,INF209K01KY6,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2026-06-19,True,False,0.0538,June-2026,2026-06-30,2026-06-19,108.068
100049,,,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2011-02-11,False,False,,,,2011-02-11,10.821
100051,INF209K01KU4,INF209KA1LJ9,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid Fund,Debt Scheme,Debt Scheme,Other,IDCW,2006-04-02,2026-09-24,True,False,117.1713,June-2026,2026-06-30,2026-09-24,100.3231
