schemeCode,schemeName,isinGrowth,isinDivReinvestment
100313,LIC MF Flexi Cap Fund - Regular Plan - Growth,INF767K01071,
100476,Taurus Flexi Cap Fund - Regular Plan - Growth,INF044D01989,
100520,Franklin India Flexi Cap Fund - Regular Plan - Growth,INF090I01239,
100669,UTI - Flexi Cap Fund. - Regular Plan - Growth,INF789F01513,
101762,HDFC Flexi Cap Fund - Regular Plan - Growth Option,INF179K01608,
101922,Canara Robeco Flexi Cap Fund - Regular Plan - GROWTH OPTION,INF760K01019,
102252,HSBC Flexi Cap Fund - Regular Plan - Growth,INF336L01AF5,
103166,Aditya Birla Sun Life Flexi Cap Fund - Regular Plan - GROWTH,INF209K01AJ8,
103215,SBI FLEXICAP FUND - Regular Plan - Growth,INF200K01222,
103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option,,
105875,DSP Flexi Cap Fund - Regular Plan - Growth,INF740K01037,
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,INF194K01391,
109522,JM Flexi Cap Fund - Regular Plan - Growth Option,INF192K01635,
109830,Quant Flexi Cap Fund - Regular Plan - Growth Option,INF966L01457,
112090,Kotak Flexi Cap Fund - Regular Plan - Growth,INF174K01336,
115270,Union Flexi Cap Fund - Regular Plan - Growth Option,INF582M01104,
118043,L&T Flexicap Fund-Regular Plan-Growth,,
122640,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,INF879O01019,
128235,IDBI FLEXI CAP FUND Growth Regular,,
129048,Motilal Oswal Flexi Cap Fund - Regular Plan - Growth,INF247L01478,
133836,PGIM India Flexi Cap Fund - Regular Plan - Regular Growth,INF663L01FJ3,
140355,Edelweiss Flexi Cap Fund - Regular Plan - Growth,INF843K01KN5,
141927,Axis Flexi Cap Fund - Regular Plan - Growth Option,INF846K01B51,
143787,Navi Flexi Cap Fund - Regular Plan - Growth,INF959L01EE9,
144548,Tata Flexi Cap Fund - Regular Plan - Growth Option,INF277K019K2,
144902,Shriram Flexi Cap Fund - Regular Plan - Growth,INF680P01075,
148405,BANK OF INDIA FLEXI CAP FUND - Regular Plan - Growth,INF761K01FI9,
148641,Nippon India Diversified Equity Flexicap Passive FoF - Regular Plan - Growth Option,INF204KB13X3,
148989,ICICI Prudential Flexi Cap fund - Regular Plan - Growth,INF109KC1Q80,
149089,Nippon India Flexi Cap Fund - Regular Plan - Growth Option,INF204KC1097,
149101,Mahindra Manulife Flexi Cap Fund - Regular Plan - Growth,INF174V01AP8,
149449,Samco Flexi Cap Fund - Regular Plan - Growth,INF0K1H01016,
149766,Invesco India Flexi Cap Fund - Regular Plan - Growth,INF205KA1460,
150347,WhiteOak Capital Flexi Cap Fund - Regular Plan - Growth Option,INF03VN01506,
150385,Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth Option,INF251K01QW9,
150568,Sundaram Flexicap Fund - Regular Plan - GROWTH,INF903JA1LB8,
151377,ITI Flexi Cap Fund - Regular Plan - Growth Option,INF00XX01CL3,
151414,Mirae Asset Flexi Cap Fund - Regular Plan - Growth,INF769K01JG8,
151799,360 ONE Flexicap Fund - Regular Plan - GROWTH Option,INF579M01AP7,
151898,Bajaj Finserv Flexi Cap Fund - Regular Plan - Growth,INF0QA701383,
151920,NJ Flexi Cap Fund - Regular Plan - Growth Option,INF0J8L01131,
152136,Helios Flexi Cap Fund - Regular Plan - Growth,INF0R8701012,
152582,TRUSTMF Flexi Cap Fund - Regular Plan - Growth,INF0GCD01719,
153542,UNIFI FLEXI CAP FUND - Regular Plan - GROWTH,INF1MIY01049,
153739,Capitalmind Flexi Cap Fund - Regular Plan - Growth,INF226401026,
153802,DSP Nifty500 Flexicap Quality 30 Index Fund - Regular Plan - Growth,INF740KA1WO2,
153870,The Wealth Company Flexi Cap Fund - Regular Plan - Growth,INF2F0001016,
154041,Abakkus Flexi Cap Fund - Regular Plan - Growth,INF2JJD01169,
154113,Motilal Oswal Diversified Equity Flexicap Passive Fund of Funds - Regular Plan - Growth,INF247L01GM7,
154226,Old Bridge Flexi Cap Fund - Regular Plan - Regular Growth,INF0S5R01166,
154516,Quantum Flexi Cap Fund - Regular Plan - Growth Option,INF082J01515,
154519,AlphaGrep Flexi Cap Fund - Regular Plan - Growth,INF2VOA01103,
154641,JioBlackRock Flexi Cap Fund - Regular Plan - Growth Option,INF22M001325,
