scheme_code,fund_name,amc,fund_managers,benchmark_name,expense_ratio,updated_at
100313,LIC MF Flexi Cap Fund,LIC,"Sudhanshu Asthana, Nikhil Kapoor",NIFTY 500 Total Return Index,1.84,2026-09-24 18:22:51
100476,Taurus Flexi Cap Fund,TAURUS,Anuj Kapil,BSE 500 Total Return Index,2.69,2026-09-24 18:22:52
100520,Franklin India Flexi Cap Fund,FRANKLIN_TEMPLETON,"Sandeep Manam, R Janakiraman, Rajasa Kakulavarapu",NIFTY 500 Total Return Index,1.0,2026-09-24 18:22:53
100669,UTI Flexi Cap Fund,UTI,"Ajay Tyagi, Kamal Gada, Akash Dilip Shah",NIFTY 500 Total Return Index,1.16,2026-09-24 18:22:54
101762,HDFC Flexi Cap Direct Plan-Growth,HDFC,"Dhruv Muchhal, Amit Ganatra",NIFTY 500 Total Return Index,0.77,2026-09-24 18:22:55
101922,Canara Robeco Flexi Cap Fund,CANARA_ROBECO,"Pranav Gokhale, Shridatta Bhandwaldar",BSE 500 Total Return Index,0.68,2026-09-24 18:22:56
102252,HSBC Flexi Cap Fund,HSBC,"Abhishek Gupta, Mayank Chaturvedi",NIFTY 500 Total Return Index,1.3,2026-09-24 18:22:57
103166,Aditya Birla Sun Life Flexi Cap Fund,BIRLA_SUN_LIFE,"Dhaval Joshi, Harish Krishnan",NIFTY 500 Total Return Index,0.89,2026-09-24 18:22:58
103215,SBI Flexicap Fund,SBI,"Anup Upadhyay, Pradeep Kesavan",BSE 500 Total Return Index,1.26,2026-09-24 18:22:59
103457,UTI Nifty 50 Index Fund,UTI,"Sharwan Kumar Goyal, Ayush Jain, Lokesh Kulthia",NIFTY 50 Total Return Index,0.25,2026-09-24 18:23:01
105875,DSP Flexi Cap Fund,DSP,Bhavin Gandhi,NIFTY 500 Total Return Index,0.87,2026-09-24 18:23:02
108594,Bandhan Flexi Cap Fund,IDFC,"Gaurav Satra, Ritika Behera, Manish Gunwani, Viraj Kulkarni",BSE 500 Total Return Index,1.53,2026-09-24 18:23:03
109522,JM Flexi Cap Fund,JM_FINANCIAL,"Ruchi Fozdar, Satish Ramanathan, Asit Bhandarkar, Deepak Gupta",BSE 500 Total Return Index,1.05,2026-09-24 18:23:04
109830,Quant Flexi Cap Fund,ESCORTS,"Varun Pattani, Ayusha Kumbhat, Sameer Kate, Sanjeev Sharma, Sandeep Tandon, Ankit A Pande, Yug Tibrewal, Jignesh Shah",NIFTY 500 Total Return Index,1.06,2026-09-24 18:23:06
112090,Kotak Flexi Cap Fund,KOTAK_MAHINDRA,Harsha Upadhyaya,NIFTY 500 Total Return Index,0.6595,2026-09-24 18:23:07
115270,Union Flexi Cap Fund,UNION_KBC,"Vinod Malviya, Sanjay Bembalkar",BSE 500 Total Return Index,1.54,2026-09-24 18:23:08
118043,SBI Flexicap Fund,SBI,"Anup Upadhyay, Pradeep Kesavan",BSE 500 Total Return Index,1.26,2026-09-24 18:23:09
122640,Parag Parikh Flexi Cap Fund,PPFAS,"Mansi Kariya, Raunak Onkar, Tejas Soman, Aishwarya Dhar, Raj Mehta, Rukun Tarachandani, Rajeev Thakkar",NIFTY 500 Total Return Index,0.69,2026-09-24 18:23:10
128235,Parag Parikh Flexi Cap Fund,PPFAS,"Mansi Kariya, Raunak Onkar, Tejas Soman, Aishwarya Dhar, Raj Mehta, Rukun Tarachandani, Rajeev Thakkar",NIFTY 500 Total Return Index,0.69,2026-09-24 18:23:11
129048,Motilal Oswal Flexi Cap Fund,MOTILAL_OSWAL,"Ankit Agarwal, Rakesh Shetty, Varun Sharma, Swapnil P Mayekar, Ajay Khandelwal",NIFTY 500 Total Return Index,1.25,2026-09-24 18:23:12
133836,PGIM India Flexi Cap Fund,DHFL_PRAMERICA,"Anandha Padmanabhan Anjeneyan, Vinay Paharia, Puneet Pal, Vivek Sharma",NIFTY 500 Total Return Index,0.84,2026-09-24 18:23:13
140355,Edelweiss Flexi Cap Fund,EDELWEISS,"Ashwani Kumar Agarwalla, Trideep Bhattacharya, Mehul Dalmia",NIFTY 500 Total Return Index,0.77,2026-09-24 18:23:15
141927,Axis Flexi Cap Fund,AXIS,"Sachin Relekar, Krishnaa Narayan",NIFTY 500 Total Return Index,0.85,2026-09-24 18:23:16
143787,Navi Flexi Cap Fund,PEERLESS,Ashutosh Shirwaikar,NIFTY 500 Total Return Index,0.72,2026-09-24 18:23:17
144548,Tata Flexi Cap Fund,TATA,"Anand V Sharma, Aditya Bagul",NIFTY 500 Total Return Index,0.88,2026-09-24 18:23:18
144902,Shriram Flexi Cap Fund,SHRIRAM,"Prateek Nigudkar, Hitesh Savanth",NIFTY 500 Total Return Index,1.04,2026-09-24 18:23:19
148405,Bank of India Flexi Cap Fund,BOI_AXA,Alok Singh,BSE 500 Total Return Index,0.85,2026-09-24 18:23:20
148641,Nippon India Diversified Equity Flexicap Passive FoF Direct-Growth,RELIANCE,Shirish Valmik Guthe,NIFTY 500 Total Return Index,0.2,2026-09-24 18:23:22
148989,ICICI Prudential Flexi Cap Fund,ICICI_PRUDENTIAL,"Rajat Chandak, Sharmila D'Silva",BSE 500 Total Return Index,0.88,2026-09-24 18:23:23
149089,Nippon India Flexi Cap Fund,RELIANCE,"Amber Singhania, Kinjal Desai, Meenakshi Dawar, Dhrumil Shah",NIFTY 500 Total Return Index,0.65,2026-09-24 18:23:24
149101,Mahindra Manulife Flexi Cap Fund,MAHINDRA,"Neelesh Dhamnaskar, Kirti Dalvi",NIFTY 500 Total Return Index,0.96,2026-09-24 18:23:25
149449,Samco Flexi Cap Fund,Samco MF,"Dhawal Ghanshyam Dhanani, Umeshkumar Mehta, Nirali Bhansali, Vishal Shinde",NIFTY 500 Total Return Index,1.83,2026-09-24 18:23:26
149766,Invesco India Flexi Cap Fund,INVESCO,"Taher Badshah, Fatema Pacha",BSE 500 Total Return Index,0.85,2026-09-24 18:23:27
150347,WhiteOak Capital Flexi Cap Fund,WHITEOAK_CAPITAL,"Ramesh Mantri, Piyush Baranwal, Trupti Agrawal, Dheeresh Pathak, Ashish Agrawal",BSE 500 Total Return Index,0.83,2026-09-24 18:23:29
